Username,Tanggal,Review,Label,review_token,comment_normalize,stopwords_removal,stopwords_removal_final,stemming
Zulfan Gaming,10/05/2023,karena udaranya yang sangat bersih di bromo,positif,"['karena', 'udaranya', 'yang', 'sangat', 'bersih', 'di', 'bromo']","['karena', 'udaranya', 'yang', 'sangat', 'bersih', 'di', 'bromo']","['udaranya', 'bersih', 'bromo']","['udaranya', 'bersih', 'bromo']","['udara', 'bersih', 'bromo']"
Estri Purnami,09/05/2023,naik jeep dini hari demi melihat sunrise,positif,"['naik', 'jeep', 'dini', 'hari', 'demi', 'melihat', 'sunrise']","['naik', 'jeep', 'dini', 'hari', 'demi', 'melihat', 'sunrise']","['jeep', 'sunrise']","['jeep', 'sunrise']","['jeep', 'sunrise']"
Rangga Lawe,09/05/2023,seru banget liburan ke sini meskipun udah ber kali kali tetep aja seru,positif,"['seru', 'banget', 'liburan', 'ke', 'sini', 'meskipun', 'udah', 'ber', 'kali', 'kali', 'tetep', 'aja', 'seru']","['seru', 'banget', 'liburan', 'ke', 'sini', 'meskipun', 'udah', 'ber', 'kali', 'kali', 'tetep', 'aja', 'seru']","['seru', 'banget', 'liburan', 'udah', 'ber', 'kali', 'kali', 'tetep', 'aja', 'seru']","['seru', 'banget', 'liburan', 'udah', 'ber', 'kali', 'kali', 'tetep', 'aja', 'seru']","['seru', 'banget', 'libur', 'udah', 'ber', 'kali', 'kali', 'tetep', 'aja', 'seru']"
Anak Rumah,08/05/2023,gunung ini sangat cantik dan indah bagi para pecinta alam   very special,positif,"['gunung', 'ini', 'sangat', 'cantik', 'dan', 'indah', 'bagi', 'para', 'pecinta', 'alam', 'very', 'special']","['gunung', 'ini', 'sangat', 'cantik', 'dan', 'indah', 'bagi', 'para', 'pecinta', 'alam', 'very', 'special']","['gunung', 'cantik', 'indah', 'pecinta', 'alam', 'very', 'special']","['gunung', 'cantik', 'indah', 'pecinta', 'alam', 'very', 'special']","['gunung', 'cantik', 'indah', 'cinta', 'alam', 'very', 'special']"
Cecilia Susana De Ponte Aguiar,07/05/2023,pengalaman luar biasa melebihi harapan apa pun    dan imajinasi apa pun,positif,"['pengalaman', 'luar', 'biasa', 'melebihi', 'harapan', 'apa', 'pun', 'dan', 'imajinasi', 'apa', 'pun']","['pengalaman', 'luar', 'biasa', 'melebihi', 'harapan', 'apa', 'pun', 'dan', 'imajinasi', 'apa', 'pun']","['pengalaman', 'melebihi', 'harapan', 'imajinasi']","['pengalaman', 'melebihi', 'harapan', 'imajinasi']","['alam', 'lebih', 'harap', 'imajinasi']"
Sri Asih,06/05/2023,masyaallah indahnya  puas  terpana  ok mantap,positif,"['masyaallah', 'indahnya', 'puas', 'terpana', 'ok', 'mantap']","['masyaallah', 'indahnya', 'puas', 'terpana', 'ok', 'mantap']","['masyaallah', 'indahnya', 'puas', 'terpana', 'ok', 'mantap']","['masyaallah', 'indahnya', 'puas', 'terpana', 'ok', 'mantap']","['masyaallah', 'indah', 'puas', 'terpana', 'ok', 'mantap']"
Kelana Pulau,05/05/2023,meskipun tergolong mainstream dan sudah ramai dikunjungi  namun bromo hampir tidak pernah mengecewakan  lindungi pernapasan ketika mendaki dan disarankan untuk tidak berlama lama di area kawah sebab bau belerang cukup menyengat ,positif,"['meskipun', 'tergolong', 'mainstream', 'dan', 'sudah', 'ramai', 'dikunjungi', 'namun', 'bromo', 'hampir', 'tidak', 'pernah', 'mengecewakan', 'lindungi', 'pernapasan', 'ketika', 'mendaki', 'dan', 'disarankan', 'untuk', 'tidak', 'berlama', 'lama', 'di', 'area', 'kawah', 'sebab', 'bau', 'belerang', 'cukup', 'menyengat']","['meskipun', 'tergolong', 'mainstream', 'dan', 'sudah', 'ramai', 'dikunjungi', 'namun', 'bromo', 'hampir', 'tidak', 'pernah', 'mengecewakan', 'lindungi', 'pernapasan', 'ketika', 'mendaki', 'dan', 'disarankan', 'untuk', 'tidak', 'berlama', 'lama', 'di', 'area', 'kawah', 'sebab', 'bau', 'belerang', 'cukup', 'menyengat']","['tergolong', 'mainstream', 'ramai', 'dikunjungi', 'bromo', 'mengecewakan', 'lindungi', 'pernapasan', 'mendaki', 'disarankan', 'berlama', 'area', 'kawah', 'bau', 'belerang', 'menyengat']","['tergolong', 'mainstream', 'ramai', 'dikunjungi', 'bromo', 'mengecewakan', 'lindungi', 'pernapasan', 'mendaki', 'disarankan', 'berlama', 'area', 'kawah', 'bau', 'belerang', 'menyengat']","['golong', 'mainstream', 'ramai', 'kunjung', 'bromo', 'kecewa', 'lindung', 'napas', 'daki', 'saran', 'lama', 'area', 'kawah', 'bau', 'belerang', 'sengat']"
Miguel Ocaña,04/05/2023,pengalamannya luar biasa  naik ke viewpoint di malam hari untuk melihat matahari terbit  bangun pagi  lalu turun dengan mobil ke pangkalan dan memulai pendak  ,positif,"['pengalamannya', 'luar', 'biasa', 'naik', 'ke', 'viewpoint', 'di', 'malam', 'hari', 'untuk', 'melihat', 'matahari', 'terbit', 'bangun', 'pagi', 'lalu', 'turun', 'dengan', 'mobil', 'ke', 'pangkalan', 'dan', 'memulai', 'pendak']","['pengalamannya', 'luar', 'biasa', 'naik', 'ke', 'viewpoint', 'di', 'malam', 'hari', 'untuk', 'melihat', 'matahari', 'terbit', 'bangun', 'pagi', 'lalu', 'turun', 'dengan', 'mobil', 'ke', 'pangkalan', 'dan', 'memulai', 'pendak']","['pengalamannya', 'viewpoint', 'malam', 'matahari', 'terbit', 'bangun', 'pagi', 'turun', 'mobil', 'pangkalan', 'pendak']","['pengalamannya', 'viewpoint', 'malam', 'matahari', 'terbit', 'bangun', 'pagi', 'turun', 'mobil', 'pangkalan', 'pendak']","['alam', 'viewpoint', 'malam', 'matahari', 'terbit', 'bangun', 'pagi', 'turun', 'mobil', 'pangkal', 'pendak']"
Mas Dedy Ary,04/05/2023,sejuk,positif,['sejuk'],['sejuk'],['sejuk'],['sejuk'],['sejuk']
Yunia Ardina Safitri,04/05/2023,seneng banget akhirnya bisa naik sampe puncak bromo walaupun tidak mengelilingi kawah bromo awalnya takut karna phobia tinggi  tapi ketakutan dan rasa capeknya itu  ,positif,"['seneng', 'banget', 'akhirnya', 'bisa', 'naik', 'sampe', 'puncak', 'bromo', 'walaupun', 'tidak', 'mengelilingi', 'kawah', 'bromo', 'awalnya', 'takut', 'karna', 'phobia', 'tinggi', 'tapi', 'ketakutan', 'dan', 'rasa', 'capeknya', 'itu']","['seneng', 'banget', 'akhirnya', 'bisa', 'naik', 'sampe', 'puncak', 'bromo', 'walaupun', 'tidak', 'mengelilingi', 'kawah', 'bromo', 'awalnya', 'takut', 'karna', 'phobia', 'tinggi', 'tapi', 'ketakutan', 'dan', 'rasa', 'capeknya', 'itu']","['seneng', 'banget', 'sampe', 'puncak', 'bromo', 'mengelilingi', 'kawah', 'bromo', 'takut', 'karna', 'phobia', 'ketakutan', 'capeknya']","['seneng', 'banget', 'sampe', 'puncak', 'bromo', 'mengelilingi', 'kawah', 'bromo', 'takut', 'karna', 'phobia', 'ketakutan', 'capeknya']","['neng', 'banget', 'sampe', 'puncak', 'bromo', 'keliling', 'kawah', 'bromo', 'takut', 'karna', 'phobia', 'takut', 'capek']"
Amin Suryo,04/05/2023,ingin ke bromo tengger lagi,positif,"['ingin', 'ke', 'bromo', 'tengger', 'lagi']","['ingin', 'ke', 'bromo', 'tengger', 'lagi']","['bromo', 'tengger']","['bromo', 'tengger']","['bromo', 'tengger']"
AW Muhammad,27/04/2023,tempat healing daerah jawa timur perlu dicoba    keindahan alamnya sangat luar biasa   orang orangnya ramah   ,positif,"['tempat', 'healing', 'daerah', 'jawa', 'timur', 'perlu', 'dicoba', 'keindahan', 'alamnya', 'sangat', 'luar', 'biasa', 'orang', 'orangnya', 'ramah']","['tempat', 'healing', 'daerah', 'jawa', 'timur', 'perlu', 'dicoba', 'keindahan', 'alamnya', 'sangat', 'luar', 'biasa', 'orang', 'orangnya', 'ramah']","['healing', 'daerah', 'jawa', 'timur', 'dicoba', 'keindahan', 'alamnya', 'orang', 'orangnya', 'ramah']","['healing', 'daerah', 'jawa', 'timur', 'dicoba', 'keindahan', 'alamnya', 'orang', 'orangnya', 'ramah']","['healing', 'daerah', 'jawa', 'timur', 'coba', 'indah', 'alam', 'orang', 'orang', 'ramah']"
Evy Yuliana,27/04/2023,pemandangan yg indah    orang   disekitar sangat ramah ,positif,"['pemandangan', 'yg', 'indah', 'orang', 'disekitar', 'sangat', 'ramah']","['pemandangan', 'yg', 'indah', 'orang', 'disekitar', 'sangat', 'ramah']","['pemandangan', 'yg', 'indah', 'orang', 'disekitar', 'ramah']","['pemandangan', 'yg', 'indah', 'orang', 'disekitar', 'ramah']","['pandang', 'yg', 'indah', 'orang', 'sekitar', 'ramah']"
Indra Ari,27/04/2023,bagus,positif,['bagus'],['bagus'],['bagus'],['bagus'],['bagus']
Lenny Aricha,27/04/2023,pemandangan yg menakjubkan     alhamdulilah diberikan kesempatan untuk melihat langsing keindahan ciptaan nya  smg kita bs sll terjaga keindahan dan kebersihannya   ,positif,"['pemandangan', 'yg', 'menakjubkan', 'alhamdulilah', 'diberikan', 'kesempatan', 'untuk', 'melihat', 'langsing', 'keindahan', 'ciptaan', 'nya', 'smg', 'kita', 'bs', 'sll', 'terjaga', 'keindahan', 'dan', 'kebersihannya']","['pemandangan', 'yg', 'menakjubkan', 'alhamdulilah', 'diberikan', 'kesempatan', 'untuk', 'melihat', 'langsing', 'keindahan', 'ciptaan', 'nya', 'smg', 'kita', 'bs', 'sll', 'terjaga', 'keindahan', 'dan', 'kebersihannya']","['pemandangan', 'yg', 'menakjubkan', 'alhamdulilah', 'kesempatan', 'langsing', 'keindahan', 'ciptaan', 'nya', 'smg', 'bs', 'sll', 'terjaga', 'keindahan', 'kebersihannya']","['pemandangan', 'yg', 'menakjubkan', 'alhamdulilah', 'kesempatan', 'langsing', 'keindahan', 'ciptaan', 'nya', 'smg', 'bs', 'sll', 'terjaga', 'keindahan', 'kebersihannya']","['pandang', 'yg', 'takjub', 'alhamdulilah', 'sempat', 'langsing', 'indah', 'cipta', 'nya', 'smg', 'bs', 'sll', 'jaga', 'indah', 'bersih']"
Ardi Ardyanz,20/04/2023,wisata kesini harus punya uang banyak     masuk nya mahal biaya sewa mobil mahal     ,negatif,"['wisata', 'kesini', 'harus', 'punya', 'uang', 'banyak', 'masuk', 'nya', 'mahal', 'biaya', 'sewa', 'mobil', 'mahal']","['wisata', 'kesini', 'harus', 'punya', 'uang', 'banyak', 'masuk', 'nya', 'mahal', 'biaya', 'sewa', 'mobil', 'mahal']","['wisata', 'kesini', 'uang', 'masuk', 'nya', 'mahal', 'biaya', 'sewa', 'mobil', 'mahal']","['wisata', 'kesini', 'uang', 'masuk', 'nya', 'mahal', 'biaya', 'sewa', 'mobil', 'mahal']","['wisata', 'kesini', 'uang', 'masuk', 'nya', 'mahal', 'biaya', 'sewa', 'mobil', 'mahal']"
My love c,20/04/2023, pernah ke gn bromo tempatnya enak bersih,positif,"['pernah', 'ke', 'gn', 'bromo', 'tempatnya', 'enak', 'bersih']","['pernah', 'ke', 'gn', 'bromo', 'tempatnya', 'enak', 'bersih']","['gn', 'bromo', 'tempatnya', 'enak', 'bersih']","['gn', 'bromo', 'tempatnya', 'enak', 'bersih']","['gn', 'bromo', 'tempat', 'enak', 'bersih']"
Suwandi Tan,20/04/2023,udara sejuk dan pemandangan yang sangat i  ,positif,"['udara', 'sejuk', 'dan', 'pemandangan', 'yang', 'sangat', 'i']","['udara', 'sejuk', 'dan', 'pemandangan', 'yang', 'sangat', 'i']","['udara', 'sejuk', 'pemandangan', 'i']","['udara', 'sejuk', 'pemandangan', 'i']","['udara', 'sejuk', 'pandang', 'i']"
rizky wahyu haqiqi (qreation),20/04/2023,tempat terbaik yang pernah saya kunjungi,positif,"['tempat', 'terbaik', 'yang', 'pernah', 'saya', 'kunjungi']","['tempat', 'terbaik', 'yang', 'pernah', 'saya', 'kunjungi']","['terbaik', 'kunjungi']","['terbaik', 'kunjungi']","['baik', 'kunjung']"
andre Simamora,20/04/2023,bagus gunung bromo,positif,"['bagus', 'gunung', 'bromo']","['bagus', 'gunung', 'bromo']","['bagus', 'gunung', 'bromo']","['bagus', 'gunung', 'bromo']","['bagus', 'gunung', 'bromo']"
Kenny Lambert,20/04/2023,gunung bromo terkenal sebagai objek wisata utama di jawa timur  sebagai sebuah objek wisata  bromo menjadi menarik karena statusnya sebagai gunung berapi yang masih aktif  gunung bromo termasuk dalam kawasan taman nasional bromo tengger  ,positif,"['gunung', 'bromo', 'terkenal', 'sebagai', 'objek', 'wisata', 'utama', 'di', 'jawa', 'timur', 'sebagai', 'sebuah', 'objek', 'wisata', 'bromo', 'menjadi', 'menarik', 'karena', 'statusnya', 'sebagai', 'gunung', 'berapi', 'yang', 'masih', 'aktif', 'gunung', 'bromo', 'termasuk', 'dalam', 'kawasan', 'taman', 'nasional', 'bromo', 'tengger']","['gunung', 'bromo', 'terkenal', 'sebagai', 'objek', 'wisata', 'utama', 'di', 'jawa', 'timur', 'sebagai', 'sebuah', 'objek', 'wisata', 'bromo', 'menjadi', 'menarik', 'karena', 'statusnya', 'sebagai', 'gunung', 'berapi', 'yang', 'masih', 'aktif', 'gunung', 'bromo', 'termasuk', 'dalam', 'kawasan', 'taman', 'nasional', 'bromo', 'tengger']","['gunung', 'bromo', 'terkenal', 'objek', 'wisata', 'utama', 'jawa', 'timur', 'objek', 'wisata', 'bromo', 'menarik', 'statusnya', 'gunung', 'berapi', 'aktif', 'gunung', 'bromo', 'kawasan', 'taman', 'nasional', 'bromo', 'tengger']","['gunung', 'bromo', 'terkenal', 'objek', 'wisata', 'utama', 'jawa', 'timur', 'objek', 'wisata', 'bromo', 'menarik', 'statusnya', 'gunung', 'berapi', 'aktif', 'gunung', 'bromo', 'kawasan', 'taman', 'nasional', 'bromo', 'tengger']","['gunung', 'bromo', 'kenal', 'objek', 'wisata', 'utama', 'jawa', 'timur', 'objek', 'wisata', 'bromo', 'tarik', 'status', 'gunung', 'rap', 'aktif', 'gunung', 'bromo', 'kawasan', 'taman', 'nasional', 'bromo', 'tengger']"
Nendi Mulyadi,13/04/2023,tempat wisata yg paling indah sejuk alam nya ramah ramah penduduknya,positif,"['tempat', 'wisata', 'yg', 'paling', 'indah', 'sejuk', 'alam', 'nya', 'ramah', 'ramah', 'penduduknya']","['tempat', 'wisata', 'yg', 'paling', 'indah', 'sejuk', 'alam', 'nya', 'ramah', 'ramah', 'penduduknya']","['wisata', 'yg', 'indah', 'sejuk', 'alam', 'nya', 'ramah', 'ramah', 'penduduknya']","['wisata', 'yg', 'indah', 'sejuk', 'alam', 'nya', 'ramah', 'ramah', 'penduduknya']","['wisata', 'yg', 'indah', 'sejuk', 'alam', 'nya', 'ramah', 'ramah', 'duduk']"
Nathalie B,13/04/2023,luhur  untuk melihat  pendakian ke gunung berapi itu mudah  pertunjukannya luar biasa di tepi  ,positif,"['luhur', 'untuk', 'melihat', 'pendakian', 'ke', 'gunung', 'berapi', 'itu', 'mudah', 'pertunjukannya', 'luar', 'biasa', 'di', 'tepi']","['luhur', 'untuk', 'melihat', 'pendakian', 'ke', 'gunung', 'berapi', 'itu', 'mudah', 'pertunjukannya', 'luar', 'biasa', 'di', 'tepi']","['luhur', 'pendakian', 'gunung', 'berapi', 'mudah', 'pertunjukannya', 'tepi']","['luhur', 'pendakian', 'gunung', 'berapi', 'mudah', 'pertunjukannya', 'tepi']","['luhur', 'daki', 'gunung', 'rap', 'mudah', 'tunjuk', 'tepi']"
Team Sultan,13/04/2023,spot view sunrise paling ok ,positif,"['spot', 'view', 'sunrise', 'paling', 'ok']","['spot', 'view', 'sunrise', 'paling', 'ok']","['spot', 'view', 'sunrise', 'ok']","['spot', 'view', 'sunrise', 'ok']","['spot', 'view', 'sunrise', 'ok']"
muhammadrestu gen's,13/04/2023,keren,positif,['keren'],['keren'],['keren'],['keren'],['keren']
MOH AGUSTIN_X1 APH2,13/04/2023,enak,positif,['enak'],['enak'],['enak'],['enak'],['enak']
